Year,     Jan,JanClass ,     Feb,FebClass ,     Mar,MarClass ,     Apr,AprClass ,     May,MayClass ,     Jun,JunClass ,     Jul, JulClass ,     Aug,AugClass ,     Sep, SepClass ,     Oct, OctClass,     Nov,NovClass ,     Dec,DecClass ,  Annual,AnnualClass ,  Winter, WinterClass ,  Spring, SpringClass,  Summer,SummerClass ,  Autumn, AutumnClass
1944,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,-14.1, ,-15.9, ,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1945,-18.1,Observed,-20,Observed,-13.9,Observed,-9.7,Observed,-2,Observed,0.5,Observed,3.7,Observed,0.9,Observed,-1.3,Observed,-6.4,Observed,-22.5,Observed,-23.9,Observed,-9.4,Observed,-18,Observed,-8.5,Observed,1.7,Observed,-10.1,Observed
1946,-25.4,Observed,-18.5,Observed,-18.4,Observed,-7.2,Observed,-1.7,Observed,3.2,Observed,4.8,Observed,1.7,Observed,-2.4,Observed,-8.7,Observed,-19.9,Observed,-32.9,Observed,-10.5,Observed,-22.6,Observed,-9.1,Observed,3.2,Observed,-10.3,Observed
1947,-32.7,Observed,-26.3,Observed,-11.9,Observed,-6.5,Observed,-2.5,Observed,0.8,Observed,3.2,Observed,1.7,Observed,-1.9,Observed,-8.4,Observed,-12.2,Observed,-20.7,Observed,-9.8,Observed,-30.6,Observed,-7,Observed,1.9,Observed,-7.5,Observed
1948,-22.3,Observed,-29.8,Observed,-24,Observed,-12.7,Observed,-1.7,Observed,1.4,Observed,3.2,Observed,1.9,Observed,-2.3,Observed,-6.1,Observed,-18.1,Observed,-31.9,Observed,-11.9,Observed,-24.3,Observed,-12.8,Observed,2.2,Observed,-8.8,Observed
1949,-23.3,Observed,-29.6,Observed,-14.4,Observed,-5.3,Observed,-2.6,Observed,0.2,Observed,4.3,Observed,2,Observed,-1.2,Observed,-7.6,Observed,-13.7,Observed,-29.4,Observed,-10.1,Observed,-28.3,Observed,-7.4,Observed,2.2,Observed,-7.5,Observed
1950,-28,Observed,-29.4,Observed,-19.6,Observed,-11.8,Observed,-1.9,Observed,3.5,Observed,3.6,Observed,2.6,Observed,-2,Observed,-11.7,Observed,-25.3,Observed,-23.2,Observed,-11.9,Observed,-28.9,Observed,-11.1,Observed,3.2,Observed,-13,Observed
1951,-30.3,Observed,-29.2,Observed,-22.7,Observed,-4.4,Observed,-1.3,Observed,2.5,Observed,5.3,Observed,2.3,Observed,0.3,Observed,-14,Observed,-21.2,Observed,-29.6,Observed,-11.9,Observed,-27.6,Observed,-9.5,Observed,3.4,Observed,-11.6,Observed
1952,-33.9,Observed,-23.5,Observed,-17.2,Observed,-6.4,Observed,-3.3,Observed,1.3,Observed,4.9,Observed,2.6,Observed,-0.9,Observed,-5.5,Observed,-8.7,Observed,-20.6,Observed,-9.3,Observed,-29,Observed,-9,Observed,2.9,Observed,-5,Observed
1953,-32.5,Observed,-18.8,Observed,-21.5,Observed,-5.3,Observed,-1.2,Observed,4.6,Observed,6.1,Observed,4,Observed,-1.7,Observed,-6.7,Observed,-21.2,Observed,-19.9,Observed,-9.5,Observed,-24,Observed,-9.3,Observed,4.9,Observed,-9.9,Observed
