Year,     Jan,JanClass ,     Feb,FebClass ,     Mar,MarClass ,     Apr,AprClass ,     May,MayClass ,     Jun,JunClass ,     Jul, JulClass ,     Aug,AugClass ,     Sep, SepClass ,     Oct, OctClass,     Nov,NovClass ,     Dec,DecClass ,  Annual,AnnualClass ,  Winter, WinterClass ,  Spring, SpringClass,  Summer,SummerClass ,  Autumn, AutumnClass
1954,-19.4,Observed,-19,Observed,-9,Observed,-6,Observed,5.4,Observed,10.2,Observed,10.6,Observed,10.7,Observed,5.2,Observed,1.1,Observed,-6.2,Observed,-21.3,Observed,-3.1,Observed,-17.6,Observed,-3.2,Observed,10.5,Observed,0,Observed
1955,-15.4,Observed,-14,Observed,-11.8,Observed,-3,Observed,3.3,Observed,8.3,Observed,12.4,Observed,8.7,Observed,4.5,Observed,-4.3,Observed,-22.4,Observed,-26.5,Observed,-5,Observed,-16.9,Observed,-3.8,Observed,9.8,Observed,-7.4,Observed
1956,-24.3,Observed,-19.1,Observed,-11.9,Observed,0.3,Observed,5.6,Observed,8.4,Observed,12.8,Observed,10.5,Observed,4.9,Observed,-4.1,Observed,-5.4,Observed,-23.4,Observed,-3.8,Observed,-23.3,Observed,-2,Observed,10.6,Observed,-1.5,Observed
1957,-22.8,Observed,-16,Observed,-8.6,Observed,-1.3,Observed,6.1,Observed,12.5,Observed,11.4,Observed,12.8,Observed,9.2,Observed,-0.9,Observed,-7.8,Observed,-21.5,Observed,-2.2,Observed,-20.7,Observed,-1.3,Observed,12.2,Observed,0.2,Observed
1958,-16.8,Observed,-16.7,Observed,-10.6,Observed,1.8,Observed,6.6,Observed,12.6,Observed,13.5,Observed,9.9,Observed,4.9,Observed,-5.3,Observed,-11.9,Observed,-19.6,Observed,-2.6,Observed,-18.3,Observed,-0.7,Observed,12,Observed,-4.1,Observed
1959,-28.8,Observed,-13.7,Observed,-13,Observed,-1.3,Observed,5.6,Observed,12.6,Observed,10.9,Observed,10,Observed,6.2,Observed,-3,Observed,-9.9,Observed,-14,Observed,-3.2,Observed,-20.7,Observed,-2.9,Observed,11.2,Observed,-2.2,Observed
1960,-20.1,Observed,-13.8,Observed,-11.1,Observed,-0.9,Observed,6.7,Observed,9.6,Observed,11.5,Observed,10.6,Observed,6.3,Observed,-0.9,Observed,-14,Observed,-12.3,Observed,-2.4,Observed,-16,Observed,-1.8,Observed,10.6,Observed,-2.9,Observed
1961,-18.9,Observed,-15.6,Observed,-11.5,Observed,-1.7,Observed,5.7,Observed,9.4,Observed,12.9,Observed,10.2,Observed,5.6,Observed,-4.6,Observed,-16.3,Observed,-27.1,Observed,-4.3,Observed,-15.6,Observed,-2.5,Observed,10.8,Observed,-5.1,Observed
1962,-17.4,Observed,-16.6,Observed,-12.1,Observed,-0.2,Observed,4.6,Observed,9.6,Observed,13.5,Observed,11.8,Observed,5.1,Observed,1.3,Observed,-9.6,Observed,-18.6,Observed,-2.4,Observed,-20.4,Observed,-2.6,Observed,11.6,Observed,-1.1,Observed
1963,-16.8,Observed,-12.1,Observed,-11.2,Observed,-2.4,Observed,6.4,Observed,8.4,Observed,12.7,Observed,12.2,Observed,7.6,Observed,1,Observed,-19.6,Observed,-14.5,Observed,-2.4,Observed,-15.8,Observed,-2.4,Observed,11.1,Observed,-3.7,Observed
1964,NA,Missing,-8.8,Observed,-15.3,Observed,-1.1,Observed,3.3,Observed,11.7,Observed,12,Observed,9.8,Observed,6.4,Observed,-0.2,Observed,-12.6,Observed,-27.2,Observed,NA,Missing,NA,Missing,-4.4,Observed,11.2,Observed,-2.1,Observed
1965,-22.7,Observed,-20.2,Observed,-2.4,Observed,0.4,Observed,4.6,Observed,8.7,Observed,12.4,Observed,10.6,Observed,8.5,Observed,-2,Observed,-16.2,Observed,-19.7,Observed,-3.2,Observed,-23.4,Observed,0.9,Observed,10.6,Observed,-3.2,Observed
1966,-34.4,Observed,-16.2,Observed,-12,Observed,-0.2,Observed,4.8,Observed,11.2,Observed,13.8,Observed,9.9,Observed,6.7,Observed,-3.9,Observed,-16.8,Observed,-18.9,Observed,-4.7,Observed,-23.4,Observed,-2.5,Observed,11.6,Observed,-4.7,Observed
1967,-22.3,Observed,-17.2,Observed,-13,Observed,-1.2,Observed,6.1,Observed,12.6,Observed,11.6,Observed,11.3,Observed,6.8,Observed,0,Observed,-8.3,Observed,-18.8,Observed,-2.7,Observed,-19.5,Observed,-2.7,Observed,11.8,Observed,-0.5,Observed
1968,-19.8,Observed,-11.3,Observed,-5.9,Observed,-1.3,Observed,5.9,Observed,10.3,Observed,13,Observed,11.4,Observed,5.7,Observed,-2.9,Observed,-12.7,Observed,-27.9,Observed,-3,Observed,-16.6,Observed,-0.4,Observed,11.6,Observed,-3.3,Observed
1969,-33.2,Observed,-19.5,Observed,-7.6,Observed,0.9,Observed,6.3,Observed,13.6,Observed,11.7,Observed,7.8,Observed,6.2,Observed,0.8,Observed,-11.5,Observed,-14.1,Observed,-3.2,Observed,-26.9,Observed,-0.1,Observed,11,Observed,-1.5,Observed
1970,-20.5,Observed,-7.9,Observed,-5.6,Observed,0,Observed,5.4,Observed,8.5,Observed,10.4,Observed,9.5,Observed,5.1,Observed,-4,Observed,-12.2,Observed,-22.7,Observed,-2.8,Observed,-14.2,Observed,-0.1,Observed,9.5,Observed,-3.7,Observed
1971,-29.1,Estimated,-12.3,Observed,-13.1,Observed,-0.8,Observed,3.8,Observed,NA,Missing,13.6,Observed,11,Observed,5.1,Observed,-2.6,Observed,-13.9,Observed,-23,Observed,NA,Missing,-21.4,Estimated,-3.4,Observed,NA,Missing,-3.8, 
1972,-30.4,Observed,-23.1,Observed,-12.7,Observed,-5.1,Observed,5.2,Observed,9.6,Observed,13.8,Observed,11.4,Observed,4.1,Observed,-2.4,Observed,-12,Observed,-21.6,Observed,-5.3,Observed,-25.5,Observed,-4.2,Observed,11.6,Observed,-3.4, 
1973,-26.6,Observed,-19,Observed,-7.6,Observed,0.8,Observed,5.1,Observed,8.9,Observed,11.7,Observed,9,Observed,5.7,Observed,-1.4,Observed,-20.1,Observed,-21.9,Observed,-4.6,Observed,-22.4,Observed,-0.6,Observed,9.9,Observed,-5.3, 
1974,-28.9,Observed,-16.3,Observed,-12.6,Observed,-0.2,Observed,6.5,Observed,9.2,Observed,11.5,Observed,10.8,Observed,6.7,Observed,-0.1,Observed,-9.8,Observed,-13.3,Observed,-3,Observed,-22.4,Observed,-2.1,Observed,10.5,Observed,-1.1, 
1975,-21.3,Observed,-18.6,Observed,-11,Observed,-0.9,Observed,5.2,Observed,9,Observed,12.7,Observed,10.2,Observed,7.3,Observed,-1.7,Observed,-18.5,Observed,-25.4,Observed,-4.4,Observed,-17.7,Observed,-2.2,Observed,10.6,Observed,-4.3, 
1976,-19.7,Observed,-19.4,Observed,-9.8,Observed,0.9,Observed,4.7,Observed,10.9,Observed,12.3,Observed,11.2,Observed,6.2,Observed,0.1,Observed,-2.6,Observed,-14.3,Observed,-1.6,Observed,-21.5,Observed,-1.4,Observed,11.5,Observed,1.2, 
1977,-10.3,Observed,-5.9,Observed,-7,Observed,1.4,Observed,5.2,Observed,10.1,Observed,12.9,Observed,14,Observed,6.2,Estimated,0.6,Observed,-16.2,Observed,-30,Observed,-1.6,Estimated,-10.2,Observed,-0.1,Observed,12.3,Observed,-3.1,Estimated
1978,-22.1,Observed,-14.3,Observed,-7.3,Observed,0.4,Observed,5.7,Observed,10.2,Observed,12.2,Observed,11.9,Observed,7.6,Observed,2.5,Observed,-11.2,Observed,-14.5,Estimated,-1.6,Estimated,-22.1,Observed,-0.4,Observed,11.4,Observed,-0.4, 
1979,-23.3,Estimated,-26.4,Observed,-3.7,Observed,1,Observed,5.9,Observed,10.2,Observed,12.9,Observed,12.6,Observed,6.6,Observed,2.6,Observed,-6.7,Estimated,-20.5,Observed,-2.4,Estimated,-21.4,Estimated,1.1,Observed,11.9,Observed,0.8,Estimated
1980,-19.4,Observed,-7.7,Observed,-7.5,Observed,1.7,Observed,5.8,Observed,11.5,Observed,12.7,Observed,10.4,Observed,5.6,Observed,2,Observed,-7.6,Observed,-28.5,Observed,-1.8,Observed,-15.9,Observed,0,Observed,11.5,Observed,0, 
1981,-6.3,Estimated,-11.6,Observed,-2.7,Observed,-1.6,Estimated,7.8,Observed,9.3,Estimated,13.1,Observed,NA,Missing,5,Observed,0.5,Observed,-7.7,Observed,-22.2,Observed,NA,Missing,-15.5,Estimated,1.2,Estimated,NA,Missing,-0.7, 
1982,NA,Missing,-18.3,Estimated,NA,Missing,-2.4,Estimated,4.3,Observed,11,Observed,13.1,Observed,10.6,Observed,7,Observed,-3.5,Observed,-13.7,Estimated,NA,Missing,NA,Missing,NA,Missing,NA,Missing,11.6, ,-3.4,Estimated
1983,-23.1,Observed,-15.1,Estimated,-9.5,Observed,1.3,Estimated,6.5,Estimated,11.3,Observed,NA,Missing,10.2,Observed,3.3,Observed,-1.9,Observed,-14.5,Estimated,NA,Missing,NA,Missing,NA,Missing,-0.6,Estimated,NA,Missing,-4.4,Estimated
1984,-15,Observed,-10.2,Estimated,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,-15,Observed,-21.2,Observed,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1985,-7.8,Observed,NA,Missing,NA,Missing,-2.3,Observed,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1986,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1987,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1988,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1989,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1990,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1991,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,12.5,Estimated,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1992,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1993,-19.2,Estimated,-12.7,Observed,-8.3,Estimated,3.1,Observed,7.9,Observed,11.9, ,13.6,Estimated,11.7,Estimated,8,Estimated,2.4,Estimated,-8.8,Observed,-11.9,Estimated,-0.2,Estimated,NA,Missing,0.9,Estimated,12.4,Estimated,0.5,Estimated
1994,-18,Observed,NA,Missing,NA,Missing,NA,Missing,NA,Missing,10.9, ,NA,Missing,14.4, ,6.6, ,1.2,Observed,-14,Observed,-19.3,Observed,NA,Missing,NA,Missing,NA,Missing,NA,Missing,-2.1,Observed
1995,-19.2,Estimated,-12.7,Estimated,-9.5,Estimated,3,Estimated,8.4,Observed,11.8, ,13.1, ,11.3, ,10,Estimated,0.4,Observed,-14.1,Observed,-18.7,Observed,-1.4,Estimated,-17.1,Estimated,0.6,Estimated,12.1,Observed,-1.2,Estimated
1996,NA,Missing,-11.2,Observed,-7.3,Observed,0.4,Observed,6.7,Observed,10.9, ,12.4, ,10.4, ,6.2, ,-3.6,Observed,-15.5,Observed,-20.3,Observed,NA,Missing,NA,Missing,-0.1,Observed,11.2,Observed,-4.3,Observed
1997,-21.1,Observed,-5,Observed,-7.6,Observed,3,Observed,8.2,Observed,13.2, ,14.1, ,12.8, ,8,Estimated,-3.6,Observed,-7.6,Observed,-10.6,Observed,0.3,Estimated,-15.5,Observed,1.2,Observed,13.4,Observed,-1.1,Estimated
1998,-21.5,Observed,-10.1,Observed,-6.6,Observed,2.7,Observed,7.4,Observed,11.8, ,12.7, ,10.4, ,7.2, ,0.9,Estimated,-11.4,Observed,-18,Observed,-1.2,Estimated,-14.1,Observed,1.2,Observed,11.6,Observed,-1.1,Estimated
1999,-22.3,Observed,-19,Estimated,-6.5,Observed,1.1,Observed,5.8,Observed,12.2,Estimated,14, ,12, ,7, ,1.7,Observed,-12.8,Observed,-11.4,Observed,-1.5,Estimated,-19.8,Estimated,0.1,Observed,12.7,Estimated,-1.4,Observed
2000,-16.6,Estimated,-8.1,Observed,-3.5,Observed,1.6,Observed,6.5,Observed,11.8, ,12.8, ,11.1, ,6.6, ,1.3,Observed,-6.7,Observed,-16.6,Observed,0,Estimated,-12,Estimated,1.5,Observed,11.9,Observed,0.4,Observed
2001,-7.4,Observed,-12.3,Observed,NA,Missing,NA,Missing,6,Estimated,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,-12.1,Observed,NA,Missing,NA,Missing,NA,Missing
2002,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
2003,NA,Missing,NA,Missing,-8.9,Estimated,-0.5,Observed,5.2,Observed,10.7, ,13.5,Estimated,10.7, ,4.9, ,0.9,Observed,-13.9,Observed,-17.4,Observed,NA,Missing,NA,Missing,-1.4,Estimated,11.6,Estimated,-2.7,Observed
2004,-24.3,Observed,-8.1,Observed,NA,Missing,1,Observed,8.1,Observed,14.2, ,14.7, ,13.5, ,5.3,Estimated,-0.3,Observed,-9,Observed,-14.6,Observed,NA,Missing,-16.6,Observed,NA,Missing,14.1,Observed,-1.3,Estimated
2005,-19.2,Observed,-12.8,Observed,-1.9,Observed,2.2,Observed,NA,Missing,12.4, ,NA,Missing,12.7, ,7.2, ,-1.3,Observed,-9.4,Observed,-10.2,Observed,NA,Missing,-15.5,Observed,NA,Missing,NA,Missing,-1.2,Observed
2006,-20.6,Observed,-12.9,Observed,-11.2,Observed,-0.1,Observed,6.1,Observed,10.2, ,12.7, ,9.8, ,6.8, ,0.1,Observed,-22.6,Observed,-11.9,Observed,-2.8,Observed,-14.6,Observed,-1.7,Observed,10.9,Observed,-5.2,Observed
2007,-16.4,Observed,-18.2,Observed,-14.7,Estimated,-1,Observed,5.5,Estimated,12.1, ,13.1, ,11.6, ,6.6, ,-0.5,Observed,-9.8,Observed,-20.5,Observed,-2.7,Estimated,-15.5,Observed,-3.4,Estimated,12.3,Observed,-1.2,Observed
2008,-20.9,Observed,-16.1,Observed,-6.4,Observed,-0.1,Observed,6.4,Observed,9.3, ,10.7, ,10.2, ,5.8, ,-2.2,Observed,-12.4,Observed,-22.5,Observed,-3.2,Observed,-19.2,Observed,0,Observed,10.1,Observed,-2.9,Observed
2009,-19.6,Observed,-18.1,Observed,-11.6,Observed,-0.6,Observed,6,Estimated,10.7, ,14.9, ,11, ,6.1, ,-0.1,Observed,-12.1,Observed,-16.7,Observed,-2.5,Estimated,-20.1,Observed,-2.1,Estimated,12.2,Observed,-2,Observed
2010,-17.7,Estimated,-8.9,Observed,-4.4,Observed,0.7,Observed,7.3,Observed,10.1,Estimated,12.2, ,12, ,6.5, ,-0.9,Observed,-8.5,Observed,-21.8,Observed,-1.1,Estimated,-14.4,Estimated,1.2,Observed,11.4,Estimated,-1,Observed
2011,-15.4,Observed,-15.7,Observed,-12.4,Observed,0.2,Observed,6.3,Observed,10.8, ,12.6, ,9.2, ,5.7, ,-0.6,Observed,-16.4,Observed,-8.6,Observed,-2,Observed,-17.6,Observed,-2,Observed,10.9,Observed,-3.8,Observed
2012,-20.4,Observed,-8.2,Observed,-8.5,Observed,1.4,Observed,5.3,Observed,10.3, ,11, ,10.8, ,7,Estimated,-3.6,Observed,-17.4,Observed,-23,Observed,-2.9,Estimated,-12.4,Observed,-0.6,Observed,10.7,Observed,-4.7,Estimated
2013,-16.1,Observed,-8.2,Observed,-10.5,Observed,-3.8,Observed,7.4,Observed,13.3, ,14.1,Estimated,NA,Missing,NA,Missing,1.9,Estimated,NA,Missing,NA,Missing,NA,Missing,-15.8,Observed,-2.3,Observed,NA,Missing,NA,Missing
2014,-8.7,Observed,-19,Observed,-9.1,Observed,0.6,Observed,8.4,Observed,9.8, ,13.3, ,11.6, ,6.7, ,-0.1,Observed,-12,Observed,-14.3,Observed,-1.1,Observed,NA,Missing,0,Observed,11.6,Observed,-1.8,Observed
2015,-13.5,Observed,-12.6,Observed,-4.7,Observed,1.7,Observed,9.5,Observed,12.6, ,13.5, ,11, ,6.3, ,1.1,Observed,-8.7,Observed,-16.6,Observed,0,Observed,-13.5,Observed,2.2,Observed,12.4,Observed,-0.4,Observed
2016,-11.5,Observed,-9.1,Observed,-3.4,Observed,3.2,Estimated,8.4,Observed,11.8,Estimated,14.4,Estimated,12.9,Estimated,6.8, ,-4,Observed,-9.9,Observed,-21.4,Observed,-0.2,Estimated,-12.4,Observed,2.7,Estimated,13,Estimated,-2.4,Observed
2017,-16,Observed,-14,Observed,-12.6,Observed,1.9,Observed,6.9,Observed,10.9, ,12.2, ,12, ,7.3, ,0.5,Observed,-16.4,Observed,-14.6,Estimated,-1.8,Estimated,-17.1,Observed,-1.3,Observed,11.7,Observed,-2.9,Observed
