Year,     Jan,JanClass ,     Feb,FebClass ,     Mar,MarClass ,     Apr,AprClass ,     May,MayClass ,     Jun,JunClass ,     Jul, JulClass ,     Aug,AugClass ,     Sep, SepClass ,     Oct, OctClass,     Nov,NovClass ,     Dec,DecClass ,  Annual,AnnualClass ,  Winter, WinterClass ,  Spring, SpringClass,  Summer,SummerClass ,  Autumn, AutumnClass
1944,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,-9.8,Observed,-11.8,Observed,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1945,-12.7,Observed,-12.5,Observed,-6.4,Observed,-3,Observed,5.9,Observed,8.3,Observed,10.6,Observed,9.8,Observed,4.7,Observed,-0.4,Observed,-17.5,Observed,-18.2,Observed,-2.6,Observed,-12.3,Observed,-1.2,Observed,9.6,Observed,-4.4,Observed
1946,-18.1,Observed,-11.9,Observed,-9.7,Observed,-1,Observed,6.8,Observed,12.5,Observed,11.9,Observed,9.8,Observed,4.9,Observed,-1.7,Observed,-13.8,Observed,-26.7,Observed,-3.1,Observed,-16.1,Observed,-1.3,Observed,11.4,Observed,-3.5,Observed
1947,-25,Observed,-17.7,Observed,-4.3,Observed,-0.8,Observed,5.6,Observed,9.4,Observed,12.2,Observed,8.9,Observed,5.9,Observed,-1.7,Observed,-6.4,Observed,-14.4,Observed,-2.4,Observed,-23.1,Observed,0.2,Observed,10.2,Observed,-0.7,Observed
1948,-15.4,Observed,-20.6,Observed,-14.5,Observed,-5.6,Observed,6.1,Observed,11.1,Observed,12.1,Observed,9.9,Observed,4.8,Observed,0.1,Observed,-12.4,Observed,-24,Observed,-4,Observed,-16.8,Observed,-4.7,Observed,11,Observed,-2.5,Observed
1949,-15.9,Observed,-21.6,Observed,-5.4,Observed,0.7,Observed,4.9,Observed,7.7,Observed,11.8,Observed,9.8,Observed,6.7,Observed,-1.6,Observed,-8.4,Observed,-23.5,Observed,-2.9,Observed,-20.5,Observed,0.1,Observed,9.8,Observed,-1.1,Observed
1950,-20.6,Observed,-22.7,Observed,-9.9,Observed,-4.6,Observed,4.9,Observed,12.4,Observed,11.1,Observed,11.4,Observed,6,Observed,-4.2,Observed,-19.5,Observed,-18,Observed,-4.5,Observed,-22.3,Observed,-3.2,Observed,11.6,Observed,-5.9,Observed
1951,-24.5,Observed,-20.6,Observed,-14.1,Observed,1.5,Observed,6.6,Observed,10.1,Observed,14.5,Observed,11.4,Observed,7.8,Observed,-6.3,Observed,-14.7,Observed,-23.5,Observed,-4.3,Observed,-21,Observed,-2,Observed,12,Observed,-4.4,Observed
1952,-27.4,Observed,-15.4,Observed,-9.6,Observed,-1.1,Observed,3.6,Observed,9.6,Observed,12.7,Observed,10.5,Observed,5.6,Observed,0.8,Observed,-3.6,Observed,-15.4,Observed,-2.5,Observed,-22.1,Observed,-2.4,Observed,10.9,Observed,0.9,Observed
1953,-26.8,Observed,-10.9,Observed,-11.8,Observed,0.8,Observed,6.4,Observed,12.4,Observed,13.3,Observed,10.7,Observed,4.7,Observed,-1.9,Observed,-15.3,Observed,-14.3,Observed,-2.7,Observed,-17.7,Observed,-1.5,Observed,12.1,Observed,-4.2,Observed
