Year,     Jan,JanClass ,     Feb,FebClass ,     Mar,MarClass ,     Apr,AprClass ,     May,MayClass ,     Jun,JunClass ,     Jul, JulClass ,     Aug,AugClass ,     Sep, SepClass ,     Oct, OctClass,     Nov,NovClass ,     Dec,DecClass ,  Annual,AnnualClass ,  Winter, WinterClass ,  Spring, SpringClass,  Summer,SummerClass ,  Autumn, AutumnClass
1953,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1954,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1955,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1956,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1957,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1958,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1959,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1960,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1961,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1962,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1963,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1964,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1965,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing
1966,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,NA,Missing,16.7,Adjusted,12.5,Adjusted,10.2,Adjusted,NA,Missing,NA,Missing,NA,Missing,NA,Missing,14.6,Adjusted
1967,8.9,Adjusted,9.5,Adjusted,11.8,Adjusted,13.1,Adjusted,12.7,Adjusted,13.4,Adjusted,13.2,Adjusted,13,Adjusted,16.3,Adjusted,12.7,Adjusted,13,Adjusted,8.6,Adjusted,12.2,Adjusted,9.5,Adjusted,12.5,Adjusted,13.2,Adjusted,14,Adjusted
1968,9.9,Adjusted,13.4,Adjusted,12.5,Adjusted,17.6,Adjusted,14.7,Adjusted,13.6,Adjusted,11.5,Adjusted,11.4,Adjusted,12.5,Adjusted,10.7,Adjusted,11.3,Adjusted,9,Adjusted,12.4,Adjusted,10.6,Adjusted,15,Adjusted,12.2,Adjusted,11.5,Adjusted
1969,5.1,Adjusted,8.2,Adjusted,10.3,Adjusted,18.3,Adjusted,15.5,Adjusted,10.3,Adjusted,10.4,Adjusted,8.2,Adjusted,9.2,Adjusted,13.9,Adjusted,13.2,Adjusted,13.7,Adjusted,11.4,Adjusted,7.4,Adjusted,14.7,Adjusted,9.6,Adjusted,12.1,Adjusted
1970,5.8,Adjusted,9.7,Adjusted,12.3,Adjusted,13.5,Adjusted,12.7,Adjusted,12.8,Adjusted,14.2,Adjusted,12.9,Adjusted,10.7,Adjusted,13.4,Adjusted,9.2,Adjusted,7.8,Adjusted,11.3,Adjusted,9.7,Adjusted,12.9,Adjusted,13.3,Adjusted,11.1,Adjusted
1971,8.4,Adjusted,11.6,Adjusted,10,Adjusted,19.5,Adjusted,25.3,Adjusted,17.9,Adjusted,15.1,Adjusted,14.2,Adjusted,15.5,Adjusted,17.5,Adjusted,9.5,Adjusted,9.7,Adjusted,14.5,Adjusted,9.3,Adjusted,18.3,Adjusted,15.7,Adjusted,14.2,Adjusted
1972,6.7,Adjusted,8.9,Adjusted,10.3,Adjusted,12.6,Adjusted,15.5,Adjusted,15.4,Adjusted,11.1,Adjusted,16.2,Adjusted,14.7,Adjusted,13.4,Adjusted,9.9,Adjusted,8.6,Adjusted,12,Adjusted,8.4,Adjusted,12.8,Adjusted,14.2,Adjusted,12.7,Adjusted
1973,6.4,Adjusted,7.7,Adjusted,10.8,Adjusted,18,Adjusted,21.1,Adjusted,17.3,Adjusted,15.5,Adjusted,15,Adjusted,14.9,Adjusted,14.8,Adjusted,11.7,Adjusted,7.7,Adjusted,13.4,Adjusted,7.6,Adjusted,16.6,Adjusted,15.9,Adjusted,13.8,Adjusted
1974,7.1,Adjusted,12.2,Adjusted,9.4,Adjusted,15.7,Adjusted,13.3,Adjusted,15.2,Adjusted,13.1,Adjusted,12.6,Adjusted,15.2,Adjusted,16.9,Adjusted,14.6,Adjusted,8.3,Adjusted,12.8,Adjusted,9,Adjusted,12.8,Adjusted,13.7,Adjusted,15.6,Adjusted
1975,7,Adjusted,13.9,Adjusted,7.7,Adjusted,16.7,Adjusted,14.7,Adjusted,16.3,Adjusted,14.5,Adjusted,11.1,Adjusted,13.5,Adjusted,13,Adjusted,6.8,Adjusted,9.6,Adjusted,12.1,Adjusted,9.7,Adjusted,13,Adjusted,14,Adjusted,11.1,Adjusted
1976,8.2,Adjusted,6.3,Adjusted,8.1,Adjusted,15.2,Adjusted,18.3,Adjusted,8.9,Adjusted,10.4,Adjusted,11.7,Adjusted,17.9,Adjusted,13.2,Adjusted,20.4,Adjusted,12.4,Adjusted,12.6,Adjusted,8,Adjusted,13.9,Adjusted,10.3,Adjusted,17.2,Adjusted
1977,7.3,Adjusted,14.3,Adjusted,11.5,Adjusted,17,Adjusted,14.9,Adjusted,12.8,Adjusted,11.1,Adjusted,11.4,Adjusted,15.7,Adjusted,20,Adjusted,9.6,Adjusted,3,Adjusted,12.4,Adjusted,11.3,Adjusted,14.5,Adjusted,11.8,Adjusted,15.1,Adjusted
1978,5.3,Adjusted,15.8,Adjusted,12.4,Adjusted,14,Adjusted,17,Adjusted,13.7,Adjusted,12.9,Adjusted,11.8,Adjusted,14.1,Adjusted,20.4,Adjusted,9.1,Adjusted,7.9,Adjusted,12.9,Adjusted,8,Adjusted,14.5,Adjusted,12.8,Adjusted,14.5,Adjusted
